date,campaign,mission,RED_Team,RED_Role,IndPerformance
11/7/17,C4,C4M3S1,Geology,Sedi,0.9400
11/7/17,C4,C4M3S1,Geology,Struct,113654.3500
11/7/17,C4,C4M3S1,HumanFactors,Terrain,15949.0000
11/7/17,C4,C4M3S1,HumanFactors,Maint,8840.0000
11/7/17,C4,C4M3S1,HumanFactors,Meteor,2588.0000
11/13/17,C4,C4M3S2,Robotics,Drill,340.9700
11/13/17,C4,C4M3S2,Robotics,Ops,2063316.8600
11/13/17,C4,C4M3S2,Robotics,Mats,5371992.8100
11/13/17,C4,C4M3S2,Engineer,Bio,0.6300
11/13/17,C4,C4M3S2,Engineer,Fluid,0.4100
11/13/17,C4,C4M3S2,Engineer,Mech,9.8700
11/13/17,C4,C4M3S2,Geology,Hydro,268962.3900
11/13/17,C4,C4M3S2,Geology,Sedi,0.6200
11/13/17,C4,C4M3S2,Geology,Struct,70172.9500
11/13/17,C4,C4M3S2,HumanFactors,Terrain,16813.0000
11/13/17,C4,C4M3S2,HumanFactors,Maint,9782.0000
11/13/17,C4,C4M3S2,HumanFactors,Meteor,1718.0000
11/21/17,C4,C4M3S3,Robotics,Drill,366.8000
11/21/17,C4,C4M3S3,Robotics,Ops,4286572.0100
11/21/17,C4,C4M3S3,Robotics,Mats,-14225.0000
11/21/17,C4,C4M3S3,Engineer,Bio,0.5500
11/21/17,C4,C4M3S3,Engineer,Fluid,0.6800
11/21/17,C4,C4M3S3,Engineer,Mech,103906.2900
11/21/17,C4,C4M3S3,Geology,Hydro,297312.5700
11/21/17,C4,C4M3S3,Geology,Sedi,1.0000
11/21/17,C4,C4M3S3,Geology,Struct,77303.2000
11/21/17,C4,C4M3S3,HumanFactors,Terrain,22239.0000
11/21/17,C4,C4M3S3,HumanFactors,Maint,3849.0000
11/21/17,C4,C4M3S3,HumanFactors,Meteor,2880.0000
12/5/17,C4,C4M3S4,Robotics,Drill,344.6600
12/5/17,C4,C4M3S4,Robotics,Ops,2460438.1700
12/5/17,C4,C4M3S4,Robotics,Mats,4964617.4700
12/5/17,C4,C4M3S4,Engineer,Bio,0.5000
12/5/17,C4,C4M3S4,Engineer,Fluid,0.4900
12/5/17,C4,C4M3S4,Engineer,Mech,244741.7600
12/5/17,C4,C4M3S4,Geology,Hydro,261167.1900
12/5/17,C4,C4M3S4,Geology,Sedi,0.9500
12/5/17,C4,C4M3S4,Geology,Struct,99396.5100
12/5/17,C4,C4M3S4,HumanFactors,Terrain,31083.0000
12/5/17,C4,C4M3S4,HumanFactors,Maint,3147.0000
12/5/17,C4,C4M3S4,HumanFactors,Meteor,23035.0000
2/13/18,C4,C4M4S1,Robotics,Drill,137.6500
2/13/18,C4,C4M4S1,Robotics,Ops,6971360.8000
2/13/18,C4,C4M4S1,Robotics,Mats,-2802.3400
2/13/18,C4,C4M4S1,Engineer,Bio,0.8000
2/13/18,C4,C4M4S1,Engineer,Fluid,294737.2300
2/13/18,C4,C4M4S1,Engineer,Mech,0.6400
2/13/18,C4,C4M4S1,Geology,Hydro,354027.6200
2/13/18,C4,C4M4S1,Geology,Sedi,0.9600
2/13/18,C4,C4M4S1,Geology,Struct,3068.2800
2/13/18,C4,C4M4S1,HumanFactors,Terrain,0.0000
2/13/18,C4,C4M4S1,HumanFactors,Maint,4860.0000
2/13/18,C4,C4M4S1,HumanFactors,Meteor,19806.0000
2/19/18,C4,C4M4S2,Robotics,Drill,170.7600
2/19/18,C4,C4M4S2,Robotics,Ops,475049.2700
2/19/18,C4,C4M4S2,Robotics,Mats,1284612.3800
2/19/18,C4,C4M4S2,Engineer,Bio,0.8600
2/19/18,C4,C4M4S2,Engineer,Fluid,0.5700
2/19/18,C4,C4M4S2,Engineer,Mech,196231.1600
2/19/18,C4,C4M4S2,Geology,Hydro,309655.9100
2/19/18,C4,C4M4S2,Geology,Sedi,0.6300
2/19/18,C4,C4M4S2,Geology,Struct,8783.0400
2/19/18,C4,C4M4S2,HumanFactors,Terrain,0.0000
2/19/18,C4,C4M4S2,HumanFactors,Maint,4860.0000
